env_steps,mean_episode_reward
2300000,-9.5400
2310000,-9.7600
2320000,-9.8100
2330000,-9.6400
2340000,-9.5100
2350000,-9.7200
2360000,-10.0100
2370000,-10.0700
2380000,-10.1600
2390000,-10.2500
2400000,-10.2400
2410000,-10.1500
2420000,-10.2300
2430000,-10.2200
2440000,-10.2100
2450000,-10.2200
2460000,-10.2300
2470000,-10.3900
2480000,-10.4800
2490000,-10.5600
2500000,-10.6500
2510000,-10.7500
2520000,-10.8900
2530000,-10.7900
2540000,-10.7900
2550000,-10.7100
2560000,-10.6400
2570000,-10.6700
2580000,-10.7500
2590000,-10.6800
2600000,-10.4300
2610000,-10.1700
2620000,-10.0000
2630000,-9.7200
2640000,-9.5700
2650000,-9.4100
2660000,-9.3200
2670000,-9.1500
2680000,-9.0200
2690000,-8.9500
2700000,-8.9000
2710000,-8.9300
2720000,-8.7000
2730000,-8.7000
2740000,-8.6600
2750000,-8.4800
2760000,-8.5300
2770000,-8.3700
2780000,-8.1200
2790000,-8.1500
2800000,-7.9700
2810000,-8.0000
2820000,-7.8500
2830000,-7.8800
2840000,-7.9100
2850000,-7.7200
2860000,-7.7000
2870000,-7.7600
2880000,-7.7600
2890000,-7.7400
2900000,-7.8700
2910000,-7.8200
2920000,-7.7400
2930000,-7.9300
2940000,-7.8500
2950000,-8.1300
2960000,-8.1200
2970000,-8.3900
2980000,-8.2600
2990000,-8.0600
3000000,-8.1300
3010000,-8.0800
3020000,-7.9700
3030000,-8.0700
3040000,-8.1200
3050000,-8.6300
3060000,-8.6700
3070000,-8.7300
3080000,-8.6900
3090000,-8.6200
3100000,-8.7900
3110000,-8.7900
3120000,-8.7700
3130000,-8.8900
3140000,-8.9200
3150000,-8.7100
3160000,-8.6300
3170000,-8.8200
3180000,-8.6300
3190000,-8.6400
3200000,-8.5800
3210000,-8.4300
3220000,-8.2800
3230000,-7.8700
3240000,-7.8100
3250000,-7.9600
3260000,-7.9000
3270000,-7.9000
3280000,-8.2400
3290000,-8.1200
3300000,-7.9300
3310000,-7.7400
3320000,-7.5500
3330000,-7.5200
3340000,-7.1900
3350000,-6.9900
3360000,-7.0900
3370000,-7.1000
3380000,-7.3800
3390000,-7.3800
3400000,-7.5400
3410000,-7.5800
3420000,-7.6000
3430000,-7.6500
3440000,-7.6300
3450000,-7.6800
3460000,-7.7300
3470000,-8.1300
3480000,-8.3800
3490000,-8.4200
3500000,-8.2500
3510000,-8.2000
3520000,-8.0300
3530000,-7.8500
3540000,-7.7300
3550000,-7.6500
3560000,-7.5400
3570000,-7.7700
3580000,-7.5200
3590000,-7.7100
3600000,-7.9600
3610000,-7.9300
3620000,-7.6700
3630000,-7.5600
3640000,-7.4400
3650000,-7.4300
3660000,-7.2600
3670000,-7.0600
3680000,-6.8500
3690000,-6.8400
3700000,-6.7400
3710000,-6.6400
3720000,-6.5000
3730000,-6.2800
3740000,-6.1500
3750000,-6.1800
3760000,-6.0200
3770000,-5.9100
3780000,-6.2600
3790000,-6.3400
3800000,-6.3900
3810000,-6.5800
3820000,-6.7600
3830000,-6.8500
3840000,-6.8400
3850000,-7.1700
3860000,-7.3100
3870000,-7.3500
3880000,-7.4900
3890000,-7.8100
3900000,-7.6900
3910000,-7.9900
3920000,-8.2000
3930000,-8.4000
3940000,-8.2000
3950000,-8.1900
3960000,-8.2100
3970000,-8.2500
3980000,-8.3200
3990000,-8.4600
4000000,-8.5000
4010000,-8.8600
4020000,-9.0700
4030000,-9.0500
4040000,-9.0800
4050000,-8.9300
4060000,-9.0300
4070000,-9.1000
4080000,-9.1100
4090000,-9.1000
4100000,-9.0300
4110000,-8.9600
4120000,-8.9300
4130000,-8.8500
4140000,-8.8400
4150000,-8.9300
4160000,-8.9000
4170000,-8.7800
4180000,-9.1400
4190000,-9.0400
4200000,-8.9500
4210000,-9.0300
4220000,-9.0100
4230000,-8.8300
4240000,-8.7300
4250000,-8.5600
4260000,-8.5200
4270000,-8.4100
4280000,-8.4400
4290000,-8.5800
4300000,-8.6900
4310000,-8.7400
4320000,-8.5400
4330000,-8.5100
4340000,-8.4500
4350000,-8.2700
4360000,-8.2600
4370000,-7.9700
4380000,-8.0300
4390000,-7.9600
4400000,-7.5000
4410000,-7.3800
4420000,-7.2700
4430000,-7.3900
4440000,-7.4300
4450000,-7.3600
4460000,-7.3200
4470000,-7.0800
4480000,-7.0300
4490000,-7.2700
4500000,-7.2700
4510000,-7.4000
4520000,-7.4400
4530000,-7.3100
4540000,-7.2400
4550000,-7.0500
4560000,-7.0300
4570000,-7.0500
4580000,-7.1400
4590000,-6.9200
4600000,-7.0000
4610000,-7.1400
4620000,-7.1700
4630000,-6.8600
4640000,-6.8800
4650000,-6.8800
4660000,-7.0800
4670000,-7.0200
4680000,-7.1400
4690000,-7.1300
4700000,-7.3300
4710000,-7.2500
4720000,-7.1700
4730000,-7.0600
4740000,-6.9400
4750000,-6.7200
4760000,-6.6800
4770000,-6.5600
4780000,-6.5000
4790000,-6.4700
4800000,-6.4800
4810000,-6.4900
4820000,-6.3300
4830000,-6.1400
4840000,-6.1500
4850000,-6.2600
4860000,-6.1900
4870000,-6.3100
4880000,-6.2900
4890000,-6.4300
4900000,-6.2500
4910000,-6.6000
4920000,-6.7000
4930000,-6.6400
4940000,-6.6800
4950000,-6.6800
4960000,-6.5300
4970000,-6.9400
4980000,-7.1600
4990000,-7.0800
5000000,-7.2100
