env_steps,mean_episode_reward
2950000,-6.7100
2960000,-6.5900
2970000,-6.8300
2980000,-6.7900
2990000,-6.9500
3000000,-6.9100
3010000,-6.6900
3020000,-6.6900
3030000,-6.5700
3040000,-6.5300
3050000,-6.3600
3060000,-6.4100
3070000,-6.6800
3080000,-7.0200
3090000,-6.8500
3100000,-7.0200
3110000,-7.0000
3120000,-7.5300
3130000,-7.5200
3140000,-7.6800
3150000,-7.7000
3160000,-7.7600
3170000,-7.7100
3180000,-7.6700
3190000,-7.5700
3200000,-7.4700
3210000,-7.4900
3220000,-7.5900
3230000,-7.4600
3240000,-7.4400
3250000,-7.7000
3260000,-7.6900
3270000,-7.6700
3280000,-7.6300
3290000,-7.7800
3300000,-8.2700
3310000,-8.1500
3320000,-8.0100
3330000,-8.0200
3340000,-7.7700
3350000,-7.9200
3360000,-7.9200
3370000,-7.8000
3380000,-7.7300
3390000,-7.7600
3400000,-7.7500
3410000,-7.7900
3420000,-7.8400
3430000,-7.8700
3440000,-7.8500
3450000,-7.7800
3460000,-7.9600
3470000,-7.8500
3480000,-7.8600
3490000,-8.0000
3500000,-7.8000
3510000,-7.6200
3520000,-7.2800
3530000,-7.2200
3540000,-7.3600
3550000,-7.3300
3560000,-6.8400
3570000,-6.9800
3580000,-7.0300
3590000,-6.9900
3600000,-7.2100
3610000,-7.2800
3620000,-7.2400
3630000,-7.2100
3640000,-7.1500
3650000,-7.1400
3660000,-6.9400
3670000,-6.8500
3680000,-6.7500
3690000,-6.7100
3700000,-6.7400
3710000,-6.7000
3720000,-6.5000
3730000,-6.5100
3740000,-6.4700
3750000,-6.1600
3760000,-6.1600
3770000,-6.1300
3780000,-6.1900
3790000,-6.3200
3800000,-6.1100
3810000,-6.1100
3820000,-6.0200
3830000,-6.2000
3840000,-6.2100
3850000,-6.2500
3860000,-6.3900
3870000,-6.2600
3880000,-6.1800
3890000,-6.0000
3900000,-5.9100
3910000,-5.9400
3920000,-5.6900
3930000,-5.6600
3940000,-5.4200
3950000,-5.4300
3960000,-5.5600
3970000,-5.4200
3980000,-5.6800
3990000,-5.6500
4000000,-5.5900
4010000,-5.4000
4020000,-5.7100
4030000,-5.7700
4040000,-6.0600
4050000,-6.2000
4060000,-6.2700
4070000,-6.1300
4080000,-6.0400
4090000,-5.9200
4100000,-5.9400
4110000,-6.0500
4120000,-5.9600
4130000,-5.6100
4140000,-5.7500
4150000,-6.0300
4160000,-6.1900
4170000,-6.3900
4180000,-6.5400
4190000,-6.5700
4200000,-6.7900
4210000,-7.0800
4220000,-7.0100
4230000,-6.9500
4240000,-7.0200
4250000,-6.7200
4260000,-6.6200
4270000,-6.7400
4280000,-6.8300
4290000,-6.8300
4300000,-6.6300
4310000,-6.5000
4320000,-6.4000
4330000,-6.4500
4340000,-6.5400
4350000,-6.3200
4360000,-6.2000
4370000,-6.1800
4380000,-6.1600
4390000,-6.1400
4400000,-6.2900
4410000,-5.9900
4420000,-5.6700
4430000,-5.4600
4440000,-5.1200
4450000,-4.8100
4460000,-4.7900
4470000,-4.7600
4480000,-4.4800
4490000,-4.2300
4500000,-4.3200
4510000,-4.1700
4520000,-3.8200
4530000,-3.8500
4540000,-3.9700
4550000,-3.9900
4560000,-3.9100
4570000,-3.7600
4580000,-3.6500
4590000,-3.8000
4600000,-3.8400
4610000,-3.9700
4620000,-3.6900
4630000,-3.6600
4640000,-3.7400
4650000,-3.8900
4660000,-3.7900
4670000,-3.4400
4680000,-3.6100
4690000,-3.6800
4700000,-3.7100
4710000,-3.7700
4720000,-3.7500
4730000,-4.1900
4740000,-4.3100
4750000,-4.6900
4760000,-4.6500
4770000,-4.4300
4780000,-4.4200
4790000,-4.7200
4800000,-4.8100
4810000,-4.6800
4820000,-4.6300
4830000,-4.5100
4840000,-4.7300
4850000,-4.7500
4860000,-4.4600
4870000,-4.6300
4880000,-4.6600
4890000,-4.8900
4900000,-4.9700
4910000,-5.0000
4920000,-4.8600
4930000,-4.8900
4940000,-5.1400
4950000,-4.8900
4960000,-5.0600
4970000,-5.3600
4980000,-5.2900
